Collision,Type,Distance,Time
0,no collision,78.38316505414332,21
0,no collision,12.3624593470322,21
1,vehicle,152.2997593230773,19
0,no collision,65.3444374581195,21
0,no collision,10.80967103819421,21
0,no collision,29.40902844220909,21
0,no collision,42.28997346574761,21
1,building_wall,84.64222614122264,14
0,no collision,38.90385429904563,21
1,building_wall,66.31807489070343,15
1,building_wall,30.444942668633303,12
1,building_wall,67.86267381715516,11
1,unknown,25.963647558062803,8
0,no collision,14.365277721126404,22
1,building_wall,83.83509247688926,12
1,building_wall,128.97463794564828,20
1,building_wall,20.642125304741057,7
0,no collision,105.55541886482388,21
1,unknown,66.77995980726337,10
0,no collision,77.25198923282733,20
1,building_wall,60.53030060328092,14
1,vehicle,36.86357798962854,9
1,building_wall,57.320904687047005,11
0,no collision,130.94543900584904,21
1,pole,9.644635667151306,4
1,pole,11.389289002865553,6
1,building_wall,28.90667520923307,9
0,no collision,12.564369183821327,21
0,no collision,79.61189250656753,20
0,no collision,66.61007560104008,22
0,no collision,32.45448075784452,20
1,building_wall,56.57699220898576,10
1,building_wall,33.69373187609017,7
1,pole,16.957940230116947,6
1,unknown,8.712447577621788,6
1,pole,19.899480557141942,6
1,building_wall,21.945963084697723,6
1,building_wall,53.62100024518077,21
1,vehicle,37.30881640181178,9
1,building_wall,32.26460299020255,10
0,no collision,26.562745874096436,20
1,building_wall,153.39047878893325,17
0,no collision,0.06095122837359668,20
1,building_wall,19.696592207066715,9
1,pole,4.961026766395662,3
1,vehicle,86.37550392761477,12
1,building_wall,24.6543767402909,7
0,no collision,50.68250213979991,21
1,building_wall,43.31718374283082,9
1,pole,23.318410952429986,7
0,no collision,20.151942699131723,20
1,building_wall,88.7525871678954,14
1,pole,34.692637749016285,7
1,vehicle,94.73562864326232,13
1,pole,40.312625838647364,16
1,vehicle,102.20164102711715,13
1,building_wall,62.93661347399029,10
1,building_wall,101.67430098534896,14
0,no collision,128.54624764708205,20
1,building_wall,50.83060653478606,9
0,no collision,28.089213113026176,21
0,no collision,0.03738803861779161,21
0,no collision,12.918800550571177,20
1,vehicle,2.5254765616264194,3
0,no collision,0.04423505301201658,21
1,vehicle,18.076921764295548,5
1,building_wall,77.34957495210983,11
0,no collision,0.03048708727033045,21
1,vehicle,51.00741201939127,9
0,no collision,33.81534348385321,21
1,building_wall,16.992554137017578,8
0,no collision,24.651883757938776,21
1,unknown,24.792916501668515,7
0,no collision,0.036005676145578036,22
0,no collision,18.81458770672907,21
0,no collision,38.227340476678364,21
1,vehicle,16.200087354402058,5
1,building_wall,26.08328255428205,19
0,no collision,38.897352501837304,20
1,building_wall,33.17482225959975,12
1,building_wall,44.39724117666265,9
0,no collision,0.0676575477282313,20
0,no collision,44.13035971116278,21
0,no collision,46.043204023811995,21
0,no collision,26.42430955189002,20
0,no collision,64.46864561795064,21
0,no collision,15.439436525401106,21
0,no collision,18.19608272478831,20
1,building_wall,38.92917372702141,8
1,building_wall,60.17786080917722,13
1,unknown,9.860031090436678,5
1,vehicle,34.180680054858385,9
0,no collision,79.64675028748752,20
0,no collision,0.028645233422139427,21
1,vehicle,22.96207997856618,6
1,vehicle,45.59173681552056,8
0,no collision,58.419941683553816,21
1,building_wall,63.968055740289856,15
0,no collision,28.78869177208253,21
1,vehicle,30.519512709768605,6
